organic_core,metal_node,topology,smiles,lcd,pld,density,agsa,co2n2_co2_mol_kg,co2n2_n2_mol_kg,co2ch4_co2_mol_kg,co2ch4_ch4_mol_kg,selfies_safe,mask,train/test,scscore
sym_5_vae_317,sym_9_mc_5,soc,[Lr]c1ccc(N2C=CC(C3C=CN(c4ccc([Lr])cc4)C=C3)C=C2)cc1,37.04928,30.20776,0.12592,5833.96,0.151363142,0.377464291,0.538943216,2.93439115,TRUE,TRUE,1,2.779567186
sym_4_on_6,sym_4_mc_1,lcsb,[Lr]C#Cc1cn([Lr])nc1,15.27806,11.48642,0.253435,6854.18,0.167834276,0.299174388,0.538941607,2.502044396,TRUE,TRUE,1,2.119696679
sym_3_vae_762,sym_4_mc_1,ctn,[Lr]N1CCN([Lr])CC1,17.58351,13.71077,0.219693,6513.87,0.169663617,0.30466342,0.538940388,2.538273598,TRUE,TRUE,0,1.392745332
None,sym_16_mc_14,ocu,[Lr]c1ccc(c2cc3ncc([Lr])cc3cc2)cc1,27.58297,10.54163,0.4101,3950.83,0.132766227,0.183744912,0.538933357,2.037185821,TRUE,TRUE,1,3.451186361
sym_5_on_13,sym_7_mc_4,tpt,[Lr]c1nnc(nn1)[Lr],16.10523,13.93514,0.8359,1330.23,0.086162517,0.086936548,0.538923098,2.296134447,TRUE,TRUE,1,1.638658707
sym_5_vae_BR911,sym_9_mc_5,soc,[Lr]c1cc(S(=O)(c2cc([Lr])ccc23)=O)c3cc1,27.15612,22.78589,0.227122,4778.01,0.147436684,0.247396795,0.538907591,2.271233288,TRUE,TRUE,1,3.070967422
sym_4_vae_153,sym_9_mc_5,iac,[Lr]c1sc2c(c1)sc1c2sc(c1)[Lr],15.34425,12.21781,0.546212,3241.33,0.131200099,0.162550673,0.538896876,1.920186215,TRUE,TRUE,1,2.946928202
sym_5_on_9,sym_3_mc_0,pto,CC(C)c1c(N2C=CN(c3c(C(C)C)cc([Lr])cc3C(C)C)C2)c(C(C)C)cc([Lr])c1,42.39127,20.99125,0.136338,6196.77,0.184204806,0.385990771,0.538890645,3.022079197,TRUE,TRUE,1,3.546802703
None,sym_4_mc_1,qtz,[Lr]C1=CC2C3(C24C3C=C([Lr])C=C4)C=C1,19.79146,17.72408,0.148057,6991.5,0.165344394,0.388959402,0.538850479,2.953721542,TRUE,TRUE,1,2.890672014
sym_5_vae_317,sym_9_mc_5,soc,[Lr]C1=Cc2cc3=CC([Lr])=Cc3cc2=C1,22.77502,19.591,0.307108,4121.52,0.141056923,0.22288515,0.538830384,2.199678548,TRUE,TRUE,1,3.19835901
